impact_rank,area_name,police_station,congestion_pcu_hrs_day,econ_loss_week_inr,tier,officers,shift,barricade,priority,weekly_saving_inr
98,"Bellary Road,  Vinayaka Nagar",Kodigehalli,1.11,660.0,Moderate,1,02:00 - 07:00,NO,MONITOR ONLY,660
99,"Mallathahalli Road,  Sri Gurukrupa Layout",Jnanabharathi,1.11,660.0,Moderate,1,10:00 - 15:00,NO,MONITOR ONLY,660
100,"Amrutha College Road,  Azalea",Bellandur,1.09,649.0,Moderate,1,09:00 - 14:00,NO,MONITOR ONLY,649
101,"North Park Road,  Sri Katan Layout",High ground,1.08,643.0,High,3,05:00 - 10:00,NO,MONITOR ONLY,643
102,"Albert Victor Road,  Sirsi Circle",Chamarajpet,1.08,643.0,High,3,01:00 - 06:00,NO,MONITOR ONLY,643
103,"Seshadri Road,  Ayurvedic Hospital Junction",Sheshadripuram,1.03,613.0,High,3,00:00 - 03:00,NO,MONITOR ONLY,613
104,"9th Main Road,  Block 2",Wilson Garden,1.01,601.0,High,2,01:00 - 06:00,NO,MONITOR ONLY,601
105,"RT Nagar Main Road,  Judicial Officers HBCS",R.T. Nagar,1.01,601.0,Moderate,1,02:00 - 07:00,NO,MONITOR ONLY,601
106,"9th Cross Road,  Mayura Circle",J.P. Nagar,1.01,601.0,High,3,09:00 - 14:00,NO,MONITOR ONLY,601
107,"1st Cross Road,  Subhams Antique City",K.R. Pura,0.98,583.0,Moderate,1,09:00 - 14:00,NO,MONITOR ONLY,583
108,"ITPL Main Road,  Brigade Tech Gardens",Whitefield,0.96,571.0,Moderate,1,08:00 - 13:00,NO,MONITOR ONLY,571
109,"Gnana Bharathi Road,  Manasa Layout",Byatarayanapura,0.96,571.0,Moderate,1,10:00 - 15:00,NO,MONITOR ONLY,571
110,"Dr Rajkumar Puniya Bhoomi Road,  BDA Layout",Byatarayanapura,0.93,553.0,High,2,00:00 - 03:00,NO,MONITOR ONLY,553
111,"Mysore Road,  Deepanjali Nagar",Byatarayanapura,0.93,553.0,High,2,09:00 - 14:00,NO,MONITOR ONLY,553
112,"G Narayana Kumar Road,  Jai Maniurao Circle",Magadi Road,0.92,547.0,High,3,09:00 - 14:00,NO,MONITOR ONLY,547
113,"Dairy Circle Flyover Underpass,  Dairy Circle",Mico Layout,0.9,536.0,Critical,3,05:00 - 10:00,NO,MONITOR ONLY,536
114,"Old Mysore Road,  Block 4N",Magadi Road,0.9,536.0,Moderate,2,09:00 - 14:00,NO,MONITOR ONLY,536
115,"7th Cross Road,  MICO Layout",Mico Layout,0.9,536.0,Moderate,1,03:00 - 08:00,NO,MONITOR ONLY,536
116,"Dr Rajkumar Puniya Bhoomi Road,  FTI Junction",Yeshwanthpura,0.89,530.0,Moderate,1,08:00 - 13:00,NO,MONITOR ONLY,530
117,"80 Feet Ring Road,  Block 4",Rajajinagar,0.88,524.0,High,3,08:00 - 13:00,NO,MONITOR ONLY,524
118,"5th Main Road,  Dhondusa Layout",Basavanagudi,0.87,518.0,Routine,1,01:00 - 06:00,NO,MONITOR ONLY,518
119,"East End A Main Road,  Dr BR Ambedkar Circle",Jayanagara,0.86,512.0,Critical,3,00:00 - 05:00,NO,MONITOR ONLY,512
120,"Old Kanakapura Road,  Krest Park Apartment",Basavanagudi,0.86,512.0,High,3,04:00 - 09:00,NO,MONITOR ONLY,512
121,"Raja Ram Mohan Roy Road,  Sampangiram Nagar",Halasuru Gate,0.86,512.0,High,3,21:00 - 23:00,NO,MONITOR ONLY,512
122,"9th B Cross Road,  SBI Colony",J.P. Nagar,0.86,512.0,High,3,01:00 - 06:00,NO,MONITOR ONLY,512
123,"1st Cross Road,  Sarakki Industrial Layout",Mico Layout,0.83,494.0,High,3,04:00 - 09:00,NO,MONITOR ONLY,494
124,"4th Cross Road,  Brigade Opus",Kodigehalli,0.83,494.0,Routine,1,11:00 - 16:00,NO,MONITOR ONLY,494
125,"Bellary Road,  Esteem Mall",Kodigehalli,0.83,494.0,Moderate,1,00:00 - 05:00,NO,MONITOR ONLY,494
126,"Hosur Road,  Ozone Manay Tech Park",HSR Layout,0.83,494.0,Moderate,1,00:00 - 05:00,NO,MONITOR ONLY,494
127,"Chinmaya Mission Hospital Road,  KFC Circle",Jeevanbheemanagar,0.83,494.0,Moderate,1,07:00 - 12:00,NO,MONITOR ONLY,494
128,"Dr Rajkumar Puniya Bhoomi Road,  Swatantra Yodhara Nagar",Rajajinagar,0.82,488.0,High,2,09:00 - 14:00,NO,MONITOR ONLY,488
129,"Hosur Road,  Market Square Value Mall",Madiwala,0.81,482.0,High,3,11:00 - 16:00,NO,MONITOR ONLY,482
130,"CV Raman Road,  Samvidhana Circle",Yeshwanthpura,0.8,476.0,Moderate,1,02:00 - 07:00,NO,MONITOR ONLY,476
131,"Thavarekere Main Road,  Brindavan Nagar",Mico Layout,0.78,464.0,Critical,2,09:00 - 14:00,NO,MONITOR ONLY,464
